,Unnamed: 0,Open,High,Low,Close,Volume,TradingDate,H-L,O-C,AR,ME_7,ME_14,ME_21,ME_28,RANK_7,RANK_14,RANK_21,RANK_28,VAR_7,VAR_14,VAR_21,VAR_28,SMA_7,SMA_14,SMA_21,SMA_28,SD_7,SD_14,SD_21,SD_28,Ske_7,Ske_14,Ske_21,Ske_28,Kur_7,Kur_14,Kur_21,Kur_28
27,27,11402.0,11490.0,11402.0,11432.0,684140,2009-08-24,88.0,-30.0,-2.933333333333333,11432.0,11519.0,11519.0,11490.0,3.5,3.5,5.5,11.5,7685.476190476084,9656.131868132125,32957.44761904661,173328.8677248677,11461.142857142857,11511.142857142857,11531.952380952382,11371.142857142857,87.66684772749664,98.26561895257224,181.54186189153896,416.3278368363899,0.718490391286072,0.39165306279210776,-0.24454691618340801,-1.5897256983063055,0.1570955184663177,-0.23154944987568324,1.3058395008824526,2.1756344437853357
28,28,11402.0,11402.0,11315.0,11344.0,715430,2009-08-25,87.0,58.0,1.5,11432.0,11490.0,11519.0,11446.5,1.5,1.5,3.5,8.5,4779.95238095191,8527.917582417937,26026.5904761897,168553.7354497354,11423.57142857143,11486.07142857143,11504.095238095239,11357.57142857143,69.13719968983347,92.34672480612367,161.32758746162946,410.55296302637424,0.6834993157873546,0.20690534698649843,-0.6811622819872809,-1.576253476352764,1.2933354742308354,-0.22935843372241427,1.0398817337939321,2.218785593202589
29,29,11285.0,11344.0,11285.0,11285.0,635150,2009-08-26,59.0,0.0,inf,11432.0,11446.5,11519.0,11446.5,1.0,1.0,2.5,6.5,3698.8095238086075,10950.335164835607,27263.44761904697,166951.21164021158,11385.857142857143,11467.214285714286,11487.380952380952,11362.785714285714,60.81783886170741,104.64384914955875,165.11646683189102,408.5966368439804,-0.8086633935592531,0.12407623231521325,-0.45577159566286973,-1.6343526206419474,-1.042593056862947,-0.1881240393005724,0.5096494021474484,2.4182993561316612
30,30,11256.0,11285.0,11198.0,11227.0,609730,2009-08-27,87.0,29.0,3.0,11344.0,11432.0,11519.0,11446.5,1.0,1.0,2.0,5.0,6549.285714284456,14714.247252747788,28597.447619046994,144623.97222222225,11356.57142857143,11446.357142857143,11484.619047619048,11385.75,80.92765728899148,121.30229698050977,169.10779881202106,380.2945861069051,-0.5540345108185053,-0.01607275051866383,-0.4771045658664691,-1.8816851732131645,-0.9908494307710634,-0.23871370535043296,0.34432311379200403,4.028594512780275
31,31,11256.0,11285.0,11227.0,11285.0,928800,2009-08-28,58.0,-29.0,-2.0,11344.0,11432.0,11519.0,11446.5,2.5,2.5,2.5,6.0,5940.285714284227,12208.439560440214,22345.33333333263,91730.7566137568,11335.57142857143,11419.142857142857,11494.333333333334,11424.357142857143,77.07324901860714,110.49180766210776,149.4835553943397,302.8708579803557,0.1304637396853232,-0.1248966230058043,0.04969928047375699,-1.7713552483226005,-1.1023648607699315,-0.7157750670313796,-0.6231700079094613,5.215026855701705
32,32,11490.0,11519.0,11256.0,11373.0,763090,2009-08-31,263.0,117.0,2.247863247863248,11344.0,11432.0,11461.0,11446.5,5.0,6.0,6.0,9.5,6141.904761903324,11488.065934066633,22316.3619047613,47694.395502645835,11339.714285714286,11408.714285714286,11483.190476190477,11460.892857142857,78.37030535798188,107.18239563504183,149.3866188946028,218.39046568622413,-0.07304426658070076,0.12513888340684276,0.2442871388420599,-0.5223681702408729,-1.3717551640517265,-0.42365641206960275,-0.5641889369184426,1.46901133061333
33,33,11285.0,11344.0,11256.0,11315.0,628060,2009-09-01,88.0,-30.0,-2.933333333333333,11315.0,11402.5,11432.0,11446.5,4.0,4.0,4.0,6.0,4498.33333333172,11836.219780220537,21143.790476190024,34235.062169312565,11323.0,11398.285714285714,11465.095238095239,11477.607142857143,67.06961557465287,108.79439222781906,145.40904537266596,185.0271930536497,0.3358823348113689,0.3889395485257899,0.4234295452602983,0.28559167902851873,0.05912670744475932,-0.4453797069939874,-0.27997678820278976,0.2469714921190196
34,34,11168.0,11344.0,11168.0,11198.0,659050,2009-09-03,176.0,-30.0,-5.866666666666666,11285.0,11358.5,11432.0,11446.5,1.0,1.0,1.0,2.0,3818.619047617112,13234.862637363567,18877.31428571404,36684.83068783107,11289.57142857143,11375.357142857143,11437.285714285714,11471.357142857143,61.79497590918789,115.04287304028689,137.39473893025905,191.5328449322232,-0.25180356179311186,0.4592168321962132,0.09856544143979612,0.24533928228256272,-0.8144551443956765,-0.03188077101655145,-0.6420691649853993,0.01590495480736116
35,35,11168.0,11285.0,10964.0,10964.0,683440,2009-09-04,321.0,204.0,1.5735294117647058,11285.0,11344.0,11432.0,11432.0,1.0,1.0,1.0,1.0,17552.90476190226,19852.10989011126,25484.16190476191,37229.87698412722,11235.285714285714,11329.42857142857,11402.47619047619,11436.892857142857,132.48737585861628,140.89751555691555,159.63759552424332,192.95045214802482,-1.670969888063213,-1.1977256280051636,-0.8747472584609189,-0.43392426653580785,3.431207852709895,2.6860530293308438,1.5027426152386913,0.06518408743394152
36,36,10584.0,10876.0,10525.0,10759.0,737000,2009-09-07,351.0,-175.0,-2.005714285714286,11227.0,11329.5,11432.0,11432.0,1.0,1.0,1.0,1.0,48361.47619047293,37744.30769230958,43627.828571428974,51764.17989417998,11160.142857142857,11273.0,11364.857142857143,11405.57142857143,219.91242845840463,194.2789429977155,208.87275689143613,227.51742767133243,-1.2382425361448335,-1.8106473701534866,-1.4214266194388445,-0.8987414082784865,0.6391452553938152,3.1740174557211818,2.752814083419626,1.3122035404871644
